Year,Inflacion,Salario Minimo,Salario Congreso,Tecnico,Tecnologo,Profesional Pregrado,Profesional Especialista,Profesional Magister,CEO,CFO,Futbolista
1991,26.82,51716,714665,0,0,0,0,0,0,0,0
1992,25.13,65190,2680000,0,0,0,0,0,0,0,0
1993,22.6,81510,3400000,0,0,0,0,0,0,0,0
1994,22.59,98700,4300000,0,0,0,0,0,0,0,0
1995,19.46,118934,5213852,0,0,0,0,0,0,0,0
1996,21.63,142125,6334830,0,0,0,0,0,0,0,0
1997,17.68,172005,7898897,0,0,0,0,0,0,0,0
1998,16.7,203826,9290683,0,0,0,0,0,0,0,0
1999,9.23,236460,11046622,0,0,0,0,0,0,0,0
2000,8.75,260100,12736000,0,0,0,0,0,0,0,0
2001,7.65,286000,13299000,0,0,0,0,0,0,0,0
2002,6.99,309000,14049226,0,0,0,0,0,0,0,0
2003,6.49,332000,14923421,0,0,0,0,0,0,0,0
2004,5.5,358000,15809881,0,0,0,0,0,0,0,0
2005,4.85,381500,16711044,0,0,0,0,0,0,0,0
2006,4.48,408000,17613440,0,0,0,0,0,0,0,0
2007,5.69,433700,18494112,0,0,0,0,0,0,0,0
2008,7.67,461500,19546427,0,0,0,0,0,0,0,0
2009,2,496900,21045638,1214459,1374860,2325635,2959899,3699873,0,0,0
2010,3.17,515000,21466551,1309012,1481901,2397248,3051043,3813803,0,0,0
2011,3.73,535600,22147043,0,0,0,0,0,0,0,0
2012,2.44,566700,23254395,1385000,1537000,2486000,3164000,3955000,0,0,100000000
2013,1.94,589500,24054347,1446600,1589500,2571400,3272700,4090900,0,0,130000000
2014,3.66,616000,24761544,1505000,1620000,2621000,3336000,4170000,0,0,0
2015,6.77,644350,25915432,1574000,1679000,2717000,3458000,4323000,65000000,37500000,0
2016,5.75,689455,26749000,1684000,1793000,2902000,3693000,4617000,0,0,0
2017,4.09,737717,27929064,1800000,1920000,3105000,3952000,4940000,100000000,55000000,206363500